prtDayDate,customerID,productID,documentID,prtQuantity,prdGroup6ID
1/10/2013,102101333,102106025,102007,384,102002
1/10/2013,102101333,102106025,102007,64,102002
1/10/2013,102101333,102106030,102007,300,102002
1/10/2013,102101333,102106030,102007,12,102002
1/10/2013,102101333,102106032,102007,300,102002
1/10/2013,102101333,102106032,102007,12,102002
1/10/2013,102101333,102103801,102007,15,102002
1/10/2013,102101333,102103799,102007,3,102002
1/10/2013,102202606,102106025,102008,2892,102002
1/10/2013,102202606,102106025,102008,183,102002
1/10/2013,102202606,102106026,102008,173,102002
1/10/2013,102202606,102106026,102008,1987,102002
1/10/2013,102213220,102106036,102009,24,102003
1/10/2013,102213220,102102882,102009,24,102003
1/10/2013,102213220,102103880,102009,24,102003
1/10/2013,102213220,102106153,102009,12,102003
1/10/2013,102216133,102106037,102009,12,102003
1/10/2013,102216133,102106034,102009,12,102003
1/10/2013,102216133,102106035,102009,12,102003
1/10/2013,102216133,102106036,102009,12,102003
1/10/2013,102216133,102102883,102009,24,102003
1/10/2013,102216133,102102878,102009,24,102003
1/10/2013,102216133,102106104,102009,24,102003
1/10/2013,102202707,102106034,102009,180,102003
1/10/2013,102202707,102106035,102009,60,102003
1/10/2013,102202707,102106036,102009,84,102003
1/10/2013,102214177,102106037,102009,36,102003
1/10/2013,102214177,102106034,102009,36,102003
1/10/2013,102214177,102106035,102009,24,102003
1/10/2013,102214177,102106036,102009,24,102003
1/10/2013,102214177,102102875,102009,12,102003
1/10/2013,102214177,102102882,102009,24,102003
1/10/2013,102214177,102102877,102009,24,102003
1/10/2013,102214177,102102878,102009,24,102003
1/10/2013,102202711,102106034,102009,60,102003
1/10/2013,102202711,102106035,102009,60,102003
1/10/2013,102202711,102106036,102009,60,102003
1/10/2013,102202711,102102875,102009,24,102003
1/10/2013,102202711,102102883,102009,72,102003
1/10/2013,102202711,102102882,102009,72,102003
1/10/2013,102202711,102102877,102009,72,102003
1/10/2013,102202711,102102878,102009,48,102003
1/10/2013,102202711,102103873,102009,24,102003
1/10/2013,102202711,102103878,102009,24,102003
1/10/2013,102202711,102103880,102009,24,102003
1/10/2013,102202711,102106104,102009,48,102003
1/10/2013,102202711,102106153,102009,24,102003
1/10/2013,102101378,102105288,102009,1200,102003
1/10/2013,102101378,102106035,102009,960,102003
1/10/2013,102101378,102106037,102009,240,102003
1/10/2013,102101378,102106036,102009,480,102003
1/10/2013,102101378,102106038,102009,240,102003
1/10/2013,102101378,102102883,102009,720,102003
1/10/2013,102101378,102102882,102009,960,102003
1/10/2013,102101378,102106104,102009,480,102003
1/10/2013,102101378,102102878,102009,960,102003
1/10/2013,102101378,102102877,102009,960,102003
1/10/2013,102101378,102103873,102009,330,102003
1/10/2013,102101378,102103873,102009,150,102003
1/10/2013,102101378,102103878,102009,360,102003
1/10/2013,102101378,102106101,102009,6,102003
1/10/2013,102101378,102106101,102009,234,102003
1/10/2013,102101378,102106102,102009,240,102003
1/10/2013,102101378,102106153,102009,120,102003
1/10/2013,102101378,102102875,102009,107,102003
1/10/2013,102101378,102102875,102009,133,102003
1/10/2013,102213862,102106037,102009,24,102003
1/10/2013,102213862,102106034,102009,48,102003
1/10/2013,102213862,102106035,102009,24,102003
